datetime,price,number,type
20231021172,59794,4,
20231021173,59819,9,
20231021174,59813,3,
20231021175,59844,4,
20231021176,59868,8,
20231021177,59887,7,
20231021178,59902,2,
20231021179,59898,8,
20231021180,59864,4,
20231021181,59864,4,
20231021182,59841,1,
20231021183,59835,5,
20231021184,59833,3,
20231021185,59847,7,
20231021186,59859,9,
20231021187,59843,3,
20231021188,59863,3,
20231021189,59858,8,
20231021190,59866,6,
20231021191,59841,1,
20231021192,59842,2,
20231021193,59852,2,
20231021194,59846,6,
20231021195,59827,7,
20231021196,59817,7,
20231021197,59800,0,
20231021198,59788,8,
20231021199,59804,4,
20231021200,59802,2,
20231021201,59804,4,
20231021202,59815,5,
20231021203,59791,1,
20231021204,59796,6,
20231021205,59827,7,
20231021206,59817,7,
20231021207,59797,7,
20231021208,59816,6,
20231021209,59849,9,
20231021210,59844,4,
20231021211,59842,2,
20231021212,59818,8,
20231021213,59791,1,
20231021214,59811,1,
20231021215,59822,2,
20231021216,59829,9,
20231021217,59807,7,
20231021218,59803,3,
20231021219,59829,9,
20231021220,59833,3,
20231021221,59827,7,
20231021222,59821,1,
20231021223,59843,3,
20231021224,59814,4,
20231021225,59842,2,
20231021226,59859,9,
20231021227,59860,0,
20231021228,59832,2,
20231021229,59821,1,
20231021230,59818,8,
20231021231,59818,8,
20231021232,59783,3,
20231021233,59802,2,
20231021234,59805,5,
20231021235,59839,9,
20231021236,59821,1,
20231021237,59849,9,
20231021238,59850,0,
20231021239,59847,7,
20231021240,59858,8,
20231021241,59832,2,
20231021242,59843,3,
20231021243,59845,5,
20231021244,59853,3,
20231021245,59841,1,
20231021246,59866,6,
20231021247,59844,4,
20231021248,59841,1,
20231021249,59835,5,
20231021250,59837,7,
20231021251,59831,1,
20231021252,59804,4,
20231021253,59798,8,
20231021254,59804,4,
20231021255,59817,7,
20231021256,59791,1,
20231021257,59771,1,
20231021258,59780,0,
20231021259,59754,4,
20231021260,59787,7,
20231021261,59817,7,
20231021262,59820,0,
20231021263,59842,2,
20231021264,59823,3,
20231021265,59854,4,
20231021266,59842,2,
20231021267,59843,3,
20231021268,59856,6,
20231021269,59840,0,
20231021270,59824,4,
20231021271,59846,6,
20231021272,59813,7,
20231021273,59806,7,
20231021274,59791,1,
20231021275,59789,7,
20231021276,59775,4,
20231021277,59773,2,
20231021278,59781,1,
20231021279,59769,4,
20231021280,59742,7,
20231021281,59719,3,
20231021282,59701,8,
20231021283,59700,1,
20231021284,59714,4,
20231021285,59726,2,
20231021286,59727,1,
20231021287,59728,1,
20231021288,59718,0,
20231021289,59747,9,
