datetime,price,number,type
20231021114,29916,6,
20231021115,29933,3,
20231021116,29948,8,
20231021117,29937,7,
20231021118,29969,9,
20231021119,29963,3,
20231021120,29961,1,
20231021121,29986,6,
20231021122,29996,6,
20231021123,29976,6,
20231021124,29973,3,
20231021125,29994,4,
20231021126,30005,5,
20231021127,29983,3,
20231021128,30009,9,
20231021129,30012,2,
20231021130,30026,6,
20231021131,30017,7,
20231021132,30011,1,
20231021133,30009,9,
20231021134,29983,3,
20231021135,29971,1,
20231021136,30009,9,
20231021137,30002,2,
20231021138,29981,1,
20231021139,30003,3,
20231021140,30011,1,
20231021141,30033,3,
20231021142,30023,3,
20231021143,30048,8,
20231021144,30034,4,
20231021145,30019,9,
20231021146,30006,6,
20231021147,30014,4,
20231021148,29996,6,
20231021149,29974,4,
20231021150,29967,7,
20231021151,29961,1,
20231021152,29994,4,
20231021153,29973,3,
20231021154,29973,3,
20231021155,29974,4,
20231021156,29987,7,
20231021157,29976,6,
20231021158,29987,7,
20231021159,29966,6,
20231021160,29931,1,
20231021161,29934,4,
20231021162,29928,8,
20231021163,29944,4,
20231021164,29933,3,
20231021165,29969,9,
20231021166,29989,9,
20231021167,29994,4,
20231021168,29978,8,
20231021169,29965,5,
20231021170,29976,6,
20231021171,29991,1,
20231021172,29966,6,
20231021173,29965,5,
20231021174,29938,8,
20231021175,29923,3,
20231021176,29913,3,
20231021177,29937,7,
20231021178,29947,7,
20231021179,29943,3,
20231021180,29934,4,
20231021181,29951,1,
20231021182,29973,3,
20231021183,29956,6,
20231021184,29956,6,
20231021185,29938,8,
20231021186,29928,8,
20231021187,29921,1,
20231021188,29949,9,
20231021189,29941,1,
20231021190,29954,4,
20231021191,29952,2,
20231021192,29952,2,
20231021193,29964,4,
20231021194,29978,8,
20231021195,29987,7,
20231021196,29958,8,
20231021197,29941,1,
20231021198,29976,6,
20231021199,29957,7,
20231021200,29932,2,
20231021201,29917,7,
20231021202,29926,6,
20231021203,29942,2,
20231021204,29924,4,
20231021205,29939,9,
20231021206,29944,4,
20231021207,29935,5,
20231021208,29929,9,
20231021209,29911,1,
20231021210,29947,7,
20231021211,29917,7,
20231021212,29904,4,
20231021213,29914,4,
20231021214,29904,4,
20231021215,29923,3,
20231021216,29918,8,
20231021217,29921,1,
20231021218,29936,6,
20231021219,29954,4,
20231021220,29978,8,
20231021221,29984,4,
20231021222,29991,1,
20231021223,29967,7,
20231021224,29962,2,
20231021225,29965,5,
20231021226,29948,8,
20231021227,29942,2,
20231021228,29914,4,
20231021229,29918,8,
20231021230,29934,4,
20231021231,29909,9,
20231021232,29915,5,
20231021233,29889,9,
20231021234,29856,6,
20231021235,29828,8,
20231021236,29822,2,
20231021237,29818,8,
20231021238,29782,2,
20231021239,29787,7,
20231021240,29764,4,
20231021241,29782,2,
20231021242,29789,9,
20231021243,29768,8,
20231021244,29761,1,
20231021245,29738,8,
20231021246,29757,7,
20231021247,29766,6,
20231021248,29796,6,
20231021249,29784,4,
20231021250,29799,9,
20231021251,29776,6,
20231021252,29747,7,
20231021253,29737,7,
20231021254,29743,3,
20231021255,29756,6,
20231021256,29746,6,
20231021257,29712,2,
20231021258,29742,2,
20231021259,29750,0,
20231021260,29753,3,
20231021261,29727,7,
20231021262,29711,1,
20231021263,29713,3,
20231021264,29701,1,
20231021265,29713,3,
20231021266,29735,5,
20231021267,29723,3,
20231021268,29755,5,
20231021269,29771,1,
20231021270,29792,2,
20231021271,29769,9,
20231021272,29771,9,
20231021273,29770,0,
20231021274,29751,1,
20231021275,29741,7,
20231021276,29751,1,
20231021277,29741,3,
20231021278,29733,3,
20231021279,29745,5,
20231021280,29752,4,
20231021281,29747,5,
20231021282,29745,5,
20231021283,29717,6,
20231021284,29735,8,
20231021285,29737,2,
20231021286,29714,3,
20231021287,29726,2,
20231021288,29711,1,
20231021289,29729,9,
